,0,1,2,3,4,5,6,7,8,9
Albino Alligator (1996),Albino Alligator (1996),"Devil and Max Devlin, The (1981)",Romeo Is Bleeding (1993),Normal Life (1996),Weekend at Bernie's (1989),Trois (2000),One False Move (1991),Sirens (1994),Someone to Watch Over Me (1987),"Pallbearer, The (1996)"
Rounders (1998),Rounders (1998),Sleepers (1996),Very Bad Things (1998),Cop Land (1997),Jackie Brown (1997),Indecent Proposal (1993),"Firm, The (1993)",Donnie Brasco (1997),Swingers (1996),Primary Colors (1998)
Stonewall (1995),Stonewall (1995),Avalanche (1978),"Velocity of Gary, The (1998)",Kika (1993),"Ugly, The (1997)",I Married A Strange Person (1997),Cosi (1996),"Designated Mourner, The (1997)",Safe Passage (1994),Different for Girls (1996)
First Blood (1982),First Blood (1982),Rambo: First Blood Part II (1985),Rambo III (1988),Rocky III (1982),Top Gun (1986),Conan the Barbarian (1982),Red Dawn (1984),Indiana Jones and the Temple of Doom (1984),"Running Man, The (1987)",Die Hard (1988)
Cocoon: The Return (1988),Cocoon: The Return (1988),Harry and the Hendersons (1987),Superman III (1983),Superman IV: The Quest for Peace (1987),Crocodile Dundee II (1988),Death Becomes Her (1992),Back to the Future Part II (1989),She-Devil (1989),Ghostbusters II (1989),Gung Ho (1986)
Rocky III (1982),Rocky III (1982),Rocky IV (1985),Rocky II (1979),Rambo III (1988),Rocky V (1990),Rambo: First Blood Part II (1985),"Karate Kid, Part II, The (1986)",First Blood (1982),Jaws 2 (1978),"Karate Kid, The (1984)"
Rocky IV (1985),Rocky IV (1985),Rocky III (1982),Rambo III (1988),Rocky II (1979),Rocky V (1990),Money Train (1995),Rambo: First Blood Part II (1985),"Karate Kid, Part II, The (1986)",Superman III (1983),Superman II (1980)
Where the Buffalo Roam (1980),Where the Buffalo Roam (1980),Bustin' Loose (1981),Tin Men (1987),Easy Money (1983),"Man with Two Brains, The (1983)",Gone Fishin' (1997),Shakes the Clown (1991),Ruthless People (1986),"Crow: Salvation, The (2000)","Brother, Can You Spare a Dime? (1975)"
"Natural, The (1984)","Natural, The (1984)","Right Stuff, The (1983)",Hoosiers (1986),On Golden Pond (1981),Field of Dreams (1989),"Karate Kid, The (1984)","Good Morning, Vietnam (1987)",Rain Man (1988),"Color of Money, The (1986)",Witness (1985)
Fletch Lives (1989),Fletch Lives (1989),Fletch (1985),Weird Science (1985),Ghostbusters II (1989),Three Amigos! (1986),"Money Pit, The (1986)",Harry and the Hendersons (1987),Gung Ho (1986),Police Academy (1984),Funny Farm (1988)
Jackie Brown (1997),Jackie Brown (1997),Donnie Brasco (1997),Pulp Fiction (1994),"People vs. Larry Flynt, The (1996)",GoodFellas (1990),Sleepers (1996),Carlito's Way (1993),Rounders (1998),Trainspotting (1996),Reservoir Dogs (1992)
Jumpin' Jack Flash (1986),Jumpin' Jack Flash (1986),"Jewel of the Nile, The (1985)","Karate Kid, Part II, The (1986)",Rambo III (1988),Maverick (1994),Sleepless in Seattle (1993),Lethal Weapon 3 (1992),Lethal Weapon 2 (1989),Romancing the Stone (1984),Death Becomes Her (1992)
2 Days in the Valley (1996),2 Days in the Valley (1996),Romeo Is Bleeding (1993),Trees Lounge (1996),Cop Land (1997),Mulholland Falls (1996),Killing Zoe (1994),Jackie Brown (1997),"Truth or Consequences, N.M. (1997)",8MM (1999),Bound (1996)
Heartbreak Ridge (1986),Heartbreak Ridge (1986),Red Dawn (1984),Young Guns (1988),Rambo: First Blood Part II (1985),Big Trouble in Little China (1986),Conan the Barbarian (1982),First Blood (1982),Full Metal Jacket (1987),Lethal Weapon (1987),Lethal Weapon 2 (1989)
Three Amigos! (1986),Three Amigos! (1986),Weird Science (1985),Police Academy (1984),Scrooged (1988),"Money Pit, The (1986)",Ghostbusters II (1989),Crocodile Dundee (1986),Mr. Mom (1983),Young Guns (1988),Spaceballs (1987)
School Daze (1988),School Daze (1988),"Devil and Max Devlin, The (1981)",Calendar Girl (1993),"Flamingo Kid, The (1984)",Paradise Lost: The Child Murders at Robin Hood Hills (1996),Private Benjamin (1980),Rollercoaster (1977),One False Move (1991),"Stars Fell on Henrietta, The (1995)","Doors, The (1991)"
North Dallas Forty (1979),North Dallas Forty (1979),"Sugarland Express, The (1974)",Coming Home (1978),Airport (1970),"Towering Inferno, The (1974)",Heaven Can Wait (1978),"Good Mother, The (1988)",Rocky III (1982),Cronos (1992),Rocky II (1979)
Hoosiers (1986),Hoosiers (1986),"Natural, The (1984)",Field of Dreams (1989),"Right Stuff, The (1983)",On Golden Pond (1981),"Big Chill, The (1983)",Witness (1985),Rain Man (1988),Sixteen Candles (1984),Rocky (1976)
Red Dawn (1984),Red Dawn (1984),Heartbreak Ridge (1986),Young Guns (1988),Iron Eagle (1986),Top Gun (1986),First Blood (1982),Conan the Barbarian (1982),Lethal Weapon 2 (1989),Die Hard 2 (1990),Rambo: First Blood Part II (1985)
Superman II (1980),Superman II (1980),Superman (1978),Superman III (1983),Star Trek III: The Search for Spock (1984),Star Trek IV: The Voyage Home (1986),Back to the Future Part II (1989),Star Trek: The Motion Picture (1979),Tron (1982),Star Trek: Generations (1994),Star Trek V: The Final Frontier (1989)
Bloodsport (1988),Bloodsport (1988),First Blood (1982),Rocky III (1982),Iron Eagle (1986),"Specialist, The (1994)",Top Gun (1986),Young Guns (1988),"Golden Child, The (1986)",Metro (1997),Money Train (1995)
"Apple Dumpling Gang, The (1975)","Apple Dumpling Gang, The (1975)",Herbie Rides Again (1974),"Apple Dumpling Gang Rides Again, The (1979)","Shaggy D.A., The (1976)","Shaggy Dog, The (1959)",Freaky Friday (1977),Airport (1970),"Computer Wore Tennis Shoes, The (1970)",Harry and the Hendersons (1987),Stop! Or My Mom Will Shoot (1992)
Dangerous Minds (1995),Dangerous Minds (1995),Nell (1994),With Honors (1994),"Preacher's Wife, The (1996)","Man Without a Face, The (1993)",I Love Trouble (1994),Hero (1992),G.I. Jane (1997),Never Talk to Strangers (1995),One Fine Day (1996)
Rising Sun (1993),Rising Sun (1993),Backdraft (1991),True Lies (1994),Lethal Weapon 3 (1992),Die Hard 2 (1990),Executive Decision (1996),Falling Down (1993),Single White Female (1992),"Shadow, The (1994)",Broken Arrow (1996)
Sleepers (1996),Sleepers (1996),Rounders (1998),Carlito's Way (1993),Jackie Brown (1997),Donnie Brasco (1997),Very Bad Things (1998),Scent of a Woman (1992),Extreme Measures (1996),GoodFellas (1990),Indecent Proposal (1993)
"Toxic Avenger, The (1985)","Toxic Avenger, The (1985)","Toxic Avenger, Part II, The (1989)",Pumpkinhead (1988),Phantasm II (1988),"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",Child's Play (1988),"Howling, The (1980)",Friday the 13th Part 2 (1981),Two Thousand Maniacs! (1964),Halloween II (1981)
"Toxic Avenger, Part II, The (1989)","Toxic Avenger, Part II, The (1989)","Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",Two Thousand Maniacs! (1964),Asylum (1972),Hell Night (1981),Parasite (1982),Phantasm II (1988),"Ilsa, She Wolf of the SS (1974)","Masque of the Red Death, The (1964)","Tingler, The (1959)"
Air America (1990),Air America (1990),Lethal Weapon 3 (1992),"Cowboy Way, The (1994)",Freejack (1992),"Saint, The (1997)",Die Hard: With a Vengeance (1995),Days of Thunder (1990),Bad Company (1995),Bird on a Wire (1990),Cliffhanger (1993)
Licence to Kill (1989),Licence to Kill (1989),For Your Eyes Only (1981),Live and Let Die (1973),GoldenEye (1995),"Spy Who Loved Me, The (1977)","Man with the Golden Gun, The (1974)",Batman (1989),Tomorrow Never Dies (1997),Indiana Jones and the Temple of Doom (1984),Moonraker (1979)
Live and Let Die (1973),Live and Let Die (1973),For Your Eyes Only (1981),"Man with the Golden Gun, The (1974)","Spy Who Loved Me, The (1977)",Licence to Kill (1989),Moonraker (1979),Thunderball (1965),Goldfinger (1964),Dr. No (1962),Superman II (1980)
Star Trek V: The Final Frontier (1989),Star Trek V: The Final Frontier (1989),Star Trek IV: The Voyage Home (1986),Star Trek III: The Search for Spock (1984),Star Trek VI: The Undiscovered Country (1991),Star Trek: The Motion Picture (1979),Star Trek: Insurrection (1998),Star Trek: First Contact (1996),Star Trek: Generations (1994),Superman II (1980),Lost in Space (1998)
My Blue Heaven (1990),My Blue Heaven (1990),Multiplicity (1996),Dumb & Dumber (1994),Robin Hood: Men in Tights (1993),Ace Ventura: Pet Detective (1994),Richie Rich (1994),Cabin Boy (1994),Encino Man (1992),"Flintstones, The (1994)","Cable Guy, The (1996)"
Absolute Power (1997),Absolute Power (1997),"Client, The (1994)",Murder at 1600 (1997),"Juror, The (1996)",True Crime (1999),"Peacemaker, The (1997)","Game, The (1997)",Desperate Measures (1998),Extreme Measures (1996),Primal Fear (1996)
Loaded Weapon 1 (1993),Loaded Weapon 1 (1993),Dirty Work (1998),Hot Shots! Part Deux (1993),Wayne's World 2 (1993),Black Sheep (1996),Down Periscope (1996),Lethal Weapon 3 (1992),Mafia! (1998),Jury Duty (1995),BASEketball (1998)
"Waterboy, The (1998)","Waterboy, The (1998)",Tommy Boy (1995),Billy Madison (1995),Dumb & Dumber (1994),Vegas Vacation (1997),BASEketball (1998),Black Sheep (1996),Ace Ventura: Pet Detective (1994),Robin Hood: Men in Tights (1993),Home Alone 2: Lost in New York (1992)
King Kong (1976),King Kong (1976),Damien: Omen II (1978),"Howling, The (1980)",Something Wicked This Way Comes (1983),Phantasm (1979),Gothic (1986),Exorcist II: The Heretic (1977),"Fog, The (1980)",Coma (1978),"Believers, The (1987)"
King Kong Lives (1986),King Kong Lives (1986),Sorority House Massacre (1986),Graveyard Shift (1990),Fright Night Part II (1989),Hell Night (1981),Hellraiser III: Hell on Earth (1992),Amityville 3-D (1983),"Dark Half, The (1993)","Slumber Party Massacre, The (1982)",Psycho III (1986)
Miracle on 34th Street (1947),Miracle on 34th Street (1947),It's a Wonderful Life (1946),Mr. Smith Goes to Washington (1939),Guess Who's Coming to Dinner (1967),"Sound of Music, The (1965)",Field of Dreams (1989),Old Yeller (1957),Amadeus (1984),In the Heat of the Night (1967),"King and I, The (1956)"
"War of the Worlds, The (1953)","War of the Worlds, The (1953)",Forbidden Planet (1956),"Day the Earth Stood Still, The (1951)","20,000 Leagues Under the Sea (1954)",Planet of the Apes (1968),Invasion of the Body Snatchers (1956),Westworld (1973),"Blob, The (1958)",Logan's Run (1976),Close Encounters of the Third Kind (1977)
Little Shop of Horrors (1986),Little Shop of Horrors (1986),Grease (1978),Gremlins (1984),Three Amigos! (1986),Lethal Weapon 2 (1989),Ghostbusters II (1989),Ghostbusters (1984),Splash (1984),Beetlejuice (1988),"Good Morning, Vietnam (1987)"
Tommy Boy (1995),Tommy Boy (1995),Wayne's World 2 (1993),Black Sheep (1996),"Waterboy, The (1998)",Dumb & Dumber (1994),Ace Ventura: Pet Detective (1994),Billy Madison (1995),Happy Gilmore (1996),Ace Ventura: When Nature Calls (1995),Beverly Hills Ninja (1997)
Medicine Man (1992),Medicine Man (1992),First Knight (1995),"Mask of Zorro, The (1998)",Waterworld (1995),Rocky V (1990),Dragonheart (1996),Jumanji (1995),Hook (1991),Con Air (1997),Twister (1996)
"Love Bug, The (1969)","Love Bug, The (1969)","Computer Wore Tennis Shoes, The (1970)","Shaggy Dog, The (1959)","Cat from Outer Space, The (1978)","Parent Trap, The (1961)",E.T. the Extra-Terrestrial (1982),Bedknobs and Broomsticks (1971),101 Dalmatians (1961),Oliver & Company (1988),Herbie Rides Again (1974)
Herbie Rides Again (1974),Herbie Rides Again (1974),Herbie Goes to Monte Carlo (1977),For the Love of Benji (1977),"Shaggy D.A., The (1976)",Herbie Goes Bananas (1980),"Apple Dumpling Gang, The (1975)","Shaggy Dog, The (1959)",Condorman (1981),"Cat from Outer Space, The (1978)",Pete's Dragon (1977)
"Shaggy Dog, The (1959)","Shaggy Dog, The (1959)","Apple Dumpling Gang Rides Again, The (1979)",Son in Law (1993),Herbie Rides Again (1974),"Flintstones, The (1994)","Computer Wore Tennis Shoes, The (1970)","Apple Dumpling Gang, The (1975)",Condorman (1981),"Shaggy D.A., The (1976)","Love Bug, The (1969)"
Alien Nation (1988),Alien Nation (1988),"Running Man, The (1987)",Back to the Future Part II (1989),Blade Runner (1982),Star Trek: The Motion Picture (1979),Mad Max Beyond Thunderdome (1985),Moonraker (1979),Tron (1982),"Poseidon Adventure, The (1972)","Lawnmower Man, The (1992)"
Cool Runnings (1993),Cool Runnings (1993),Robin Hood: Men in Tights (1993),Sister Act (1992),Home Alone 2: Lost in New York (1992),Mrs. Doubtfire (1993),Liar Liar (1997),Tommy Boy (1995),Home Alone (1990),"Waterboy, The (1998)",Airheads (1994)
Moonraker (1979),Moonraker (1979),"Man with the Golden Gun, The (1974)","Spy Who Loved Me, The (1977)",For Your Eyes Only (1981),Star Trek: The Motion Picture (1979),Live and Let Die (1973),Star Trek III: The Search for Spock (1984),Thunderball (1965),Star Trek IV: The Voyage Home (1986),Superman II (1980)
"Client, The (1994)","Client, The (1994)","Firm, The (1993)",Ransom (1996),Dolores Claiborne (1994),"Pelican Brief, The (1993)","Hand That Rocks the Cradle, The (1992)","Game, The (1997)",Clear and Present Danger (1994),Cape Fear (1991),Crimson Tide (1995)
Six Days Seven Nights (1998),Six Days Seven Nights (1998),First Knight (1995),Batman Forever (1995),Twister (1996),You've Got Mail (1998),True Lies (1994),Batman Returns (1992),"Saint, The (1997)","Jewel of the Nile, The (1985)",Con Air (1997)
Coneheads (1993),Coneheads (1993),Back to the Future Part III (1990),"Honey, I Blew Up the Kid (1992)",Lost in Space (1998),Richie Rich (1994),"Flintstones, The (1994)","Waterboy, The (1998)",Ace Ventura: Pet Detective (1994),Airheads (1994),"Honey, I Shrunk the Kids (1989)"
And Now for Something Completely Different (1971),And Now for Something Completely Different (1971),Monty Python and the Holy Grail (1974),Monty Python's Life of Brian (1979),Young Frankenstein (1974),Pee-wee's Big Adventure (1985),"Jerk, The (1979)",Airplane! (1980),Apocalypse Now (1979),Blade Runner (1982),American Graffiti (1973)
What About Bob? (1991),What About Bob? (1991),Dumb & Dumber (1994),My Cousin Vinny (1992),Ace Ventura: Pet Detective (1994),Wayne's World (1992),Mrs. Doubtfire (1993),Cool Runnings (1993),White Men Can't Jump (1992),Little Shop of Horrors (1986),Renaissance Man (1994)
For Love of the Game (1999),For Love of the Game (1999),Never Been Kissed (1999),"General's Daughter, The (1999)",Mickey Blue Eyes (1999),Double Jeopardy (1999),Random Hearts (1999),End of Days (1999),"Bone Collector, The (1999)","Thomas Crown Affair, The (1999)",Vegas Vacation (1997)
Wyatt Earp (1994),Wyatt Earp (1994),"Outlaw Josey Wales, The (1976)",Young Guns (1988),Rambo III (1988),Maverick (1994),"Quick and the Dead, The (1995)",Tombstone (1993),Geronimo: An American Legend (1993),Young Guns II (1990),Three Amigos! (1986)
"Story of Us, The (1999)","Story of Us, The (1999)",Oliver & Company (1988),Benji the Hunted (1987),Condorman (1981),Jack Frost (1998),Bed of Roses (1996),D2: The Mighty Ducks (1994),Eye for an Eye (1996),Jakob the Liar (1999),Made in America (1993)
Remember the Titans (2000),Remember the Titans (2000),Best in Show (2000),Meet the Parents (2000),"Perfect Storm, The (2000)","Patriot, The (2000)","Cider House Rules, The (1999)",Shine (1996),Dirty Dancing (1987),Any Given Sunday (1999),Notting Hill (1999)
"Preacher's Wife, The (1996)","Preacher's Wife, The (1996)",Never Talk to Strangers (1995),For Richer or Poorer (1997),"Rich Man's Wife, The (1996)","Air Up There, The (1994)","First Wives Club, The (1996)",Andre (1994),"Very Thought of You, The (1998)","Fan, The (1996)",Volcano (1997)
Dance with Me (1998),Dance with Me (1998),I'll Be Home For Christmas (1998),"Amazing Panda Adventure, The (1995)",Shiloh (1997),"Corrina, Corrina (1994)",Free Willy 3: The Rescue (1997),Alaska (1996),Lassie (1994),Thomas and the Magic Railroad (2000),Eight Days a Week (1997)
Anywhere But Here (1999),Anywhere But Here (1999),Where the Heart Is (2000),Bent (1997),Best Laid Plans (1999),Mike's Murder (1984),Marvin's Room (1996),Passion Fish (1992),Superstar (1999),Blink (1994),Mary Reilly (1996)
Marvin's Room (1996),Marvin's Room (1996),Enchanted April (1991),Nell (1994),Washington Square (1997),Michael Collins (1996),How to Make an American Quilt (1995),"Cry, the Beloved Country (1995)",Eve's Bayou (1997),"End of the Affair, The (1999)","Cutting Edge, The (1992)"
Brassed Off (1996),Brassed Off (1996),"Quest, The (1996)",Peter's Friends (1992),Milk Money (1994),Primary Colors (1998),Clueless (1995),Shine (1996),Apt Pupil (1998),Sudden Death (1995),Sleepers (1996)
Nothing to Lose (1994),Nothing to Lose (1994),Billy's Hollywood Screen Kiss (1997),Mr. Wrong (1996),Bent (1997),Eye for an Eye (1996),For Richer or Poorer (1997),Jawbreaker (1999),Three to Tango (1999),Gumby: The Movie (1995),Exit to Eden (1994)
Playing by Heart (1998),Playing by Heart (1998),Bed of Roses (1996),Circle of Friends (1995),"Cutting Edge, The (1992)","Object of My Affection, The (1998)",Polish Wedding (1998),Drive Me Crazy (1999),Still Breathing (1997),"Wings of the Dove, The (1997)","Girl, Interrupted (1999)"
At First Sight (1999),At First Sight (1999),"Associate, The (1996)",Turbulence (1997),"Very Thought of You, The (1998)",Trial and Error (1997),Metro (1997),Billy's Hollywood Screen Kiss (1997),Nothing to Lose (1994),She's the One (1996),Ed (1996)
Very Bad Things (1998),Very Bad Things (1998),Rounders (1998),Sleepers (1996),Vegas Vacation (1997),Cabin Boy (1994),Black Sheep (1996),Striptease (1996),Dear God (1996),Snake Eyes (1998),8MM (1999)
Twin Peaks: Fire Walk with Me (1992),Twin Peaks: Fire Walk with Me (1992),Lost Highway (1997),"Devil and Max Devlin, The (1981)","Rapture, The (1991)",Romeo Is Bleeding (1993),"Shadow, The (1994)",Wide Awake (1998),Mother Night (1996),"Garbage Pail Kids Movie, The (1987)",Violets Are Blue... (1986)
